Id for vurderingen,Vurderingsområde,Ekspertkomité,Artsgruppe,Taksonomisk sti,Vitenskapelig navn id,Vitenskapelig navn,Autor,Populærnavn,Fremmedartsstatus,Etableringsklasse,Risikokategori 2023,Utslagsgivende kriterier 2023,Risikokategori 2018,Skår Invasjonspotensial,Skår Økologisk effekt,Skår A-kriteriet,Skår B-kriteriet,Skår C-kriteriet,Skår D-kriteriet,Skår E-kriteriet,Skår F-kriteriet,Skår G-kriteriet,Skår H-kriteriet,Skår I-kriteriet,Artens levetid i Norge (beste anslag),Ekspansjonshastighet (beste anslag),Geografisk variasjon i risiko,Årsak til geografisk variasjon i risiko,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt,Kjent forekomstareal,Antatt forekomstareal beste anslag,Fremtidig forekomstareal beste anslag,Ant. forekomster fra én introduksjon beste anslag,Ant. ytterligere introduksjoner beste anslag,Naturtyper
699,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,103798,Abies nordmanniana,(Steven) Spach,nordmannsedelgran,Selvstendig reproduserende,D1,PH,"4AB,1",LO,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,630,Ja,Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner,Nei,Nei,108.0,540.0,1904,,,"fastmarksskogsmark; plener, parker og liknende; kalk- og lågurtfuruskog; eng-aktig sterkt endret fastmark"
765,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,103799,Abies procera,Rehder,nobelgran,Selvstendig reproduserende,C2,PH,"4AB,1",LO,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,807,Ja,"Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner, Artens økologiske effekter er begrenset til visse bioklimatiske soner eller seksjoner",Nei,Nei,160.0,640.0,2216,,,fastmarksskogsmark; oppdyrket varig eng; lågurtskog; svak lågurtskog; bærlyng-lågurtskog; blåbærskog; semi-naturlig eng
1837,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,145495,Abies sachalinensis,(F.Schmidt) Mast.,sakhalinedelgran,Selvstendig reproduserende,C2,LO,"2A,1",LO,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,18,Nei,,Nei,Nei,8.0,16.0,32,,,fastmarksskogsmark; blåbærskog
728,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,103800,Abies sibirica,Ledeb.,sibiredelgran,Selvstendig reproduserende,C2,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,92,Ja,"Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner, Artens økologiske effekter er begrenset til visse bioklimatiske soner eller seksjoner",Nei,Nei,48.0,192.0,360,,,fastmarksskogsmark; kalkfattige kystlyngheier; kystlynghei
1938,Fastlands-Norge med havområder,Karplanter,Pinophyta,Plantae\Pinophyta\Pinopsida\Pinales\Pinaceae\Abies,145496,Abies veitchii,Lindl.,veitchedelgran,Selvstendig reproduserende,C2,LO,"2A,1",NK,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,36,Ja,Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner,Nei,Nei,20.0,60.0,120,,,fastmarksskogsmark
6307,Fastlands-Norge med havområder,Fisker,Actinopterygii,Animalia\Chordata\Vertebrata\Actinopterygii\Cypriniformes\Cyprinidae\Abramis,42613,Abramis brama,"(Linnaeus, 1758)",brasme,Ikke fremmed,,NR,,,,,,,,,,,,,,,,,,,,,,0,,,
5283,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Rosales\Rosaceae\Acaena,217333,Acaena microphylla,Hook. f.,taggkryp,Dørstokkart,B2,LO,"2A,1",,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,åpen grunnlendt mark; sterkt endret åpen fastmark med løsmassedekke; semi-naturlig eng
5284,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Rosales\Rosaceae\Acaena,217334,Acaena novae-zelandiae,Kirk,,Dørstokkart,B2,LO,"2A,1",,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,sterkt endret åpen fastmark med løsmassedekke; sterkt endret fastmark med preg av semi-naturlig eng; semi-naturlig eng
5285,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Rosales\Rosaceae\Acaena,217335,Acaena ovalifolia,Ruiz & Pav.,,Dørstokkart,B2,LO,"2A,1",,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,sterkt endret åpen fastmark med løsmassedekke; semi-naturlig eng
1384,Fastlands-Norge med havområder,Marine invertebrater,Copepoda,Animalia\Arthropoda\Crustacea\Multicrustacea\Copepoda\Calanoida\Diaptomoidea\Acartiidae\Acartia,128535,Acartia tonsa,"Dana, 1849",,Selvstendig reproduserende,D2,LO,"3AC,2G",LO,3.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2000.0,151,Nei,,Ja,Ja,12.0,80.0,500,,,stor brakkvannspoll; middels stor eller liten brakkvannspoll; sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster
