Id for vurderingen,Vurderingsområde,Ekspertkomité,Artsgruppe,Taksonomisk sti,Vitenskapelig navn id,Vitenskapelig navn,Autor,Populærnavn,Fremmedartsstatus,Etableringsklasse,Risikokategori 2023,Utslagsgivende kriterier 2023,Risikokategori 2018,Skår Invasjonspotensial,Skår Økologisk effekt,Skår A-kriteriet,Skår B-kriteriet,Skår C-kriteriet,Skår D-kriteriet,Skår E-kriteriet,Skår F-kriteriet,Skår G-kriteriet,Skår H-kriteriet,Skår I-kriteriet,Artens levetid i Norge (beste anslag),Ekspansjonshastighet (beste anslag),Geografisk variasjon i risiko,Årsak til geografisk variasjon i risiko,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt,Kjent forekomstareal,Antatt forekomstareal beste anslag,Fremtidig forekomstareal beste anslag,Ant. forekomster fra én introduksjon beste anslag,Ant. ytterligere introduksjoner beste anslag,Naturtyper
115,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Monocots\Poales\Poaceae\Avena,99913,Avena fatua,L.,floghavre,Etablert per år 1800,C3,NR,,NR,,,,,,,,,,,,,,,,,,,,0,,,
4932,Fastlands-Norge med havområder,Pattedyr,Mammalia,Animalia\Chordata\Vertebrata\Mammalia\Laurasiatheria\Artiodactyla\Cervidae\Cervinae\Axis,216737,Axis axis,"(Erxleben, 1777)",aksishjort,Dørstokkart,A,LO,"3A,1",,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,139,Nei,,Nei,Nei,,,20,5.0,0.0,
2881,Fastlands-Norge med havområder,Karplanter,Pteridophyta,Plantae\Pteridophyta\Filicopsida\Hydropteridales\Salviniaceae\Azolla,103946,Azolla filiculoides,Lam.,andematbregne,Dørstokkart,C0,LO,"2A,2D",NR,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Ja,,,8,1.0,1.0,kronisk eutrofierte innsjø-vannmasser; ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn; ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser
5027,Fastlands-Norge med havområder,Fisker,Actinopterygii,Animalia\Chordata\Vertebrata\Actinopterygii\Gobiiformes\Gobiidae\Babka,216502,Babka gymnotrachelus,"(Kessler, 1857)",,Dørstokkart,A,SE,"4A,4I",,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2000.0,309,Ja,"Artens evne til reproduksjon og/eller spredning er begrenset til visse kystvannssoner eller seksjoner, Artens økologiske effekter er begrenset til visse kystvannssoner eller seksjoner, Artens økologiske effekter er begrenset til bestemte naturtyper",Ja,Ja,,,56,10.0,2.0,eufotisk marin sedimentbunn; elvesedimentbunn; eufotisk innsjø-sedimentbunn
5389,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Asterales\Asteraceae\Baccharis,170126,Baccharis halimifolia,L.,,Dørstokkart,A,NK,"1,1",,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,0,Nei,,Nei,Nei,,,4,1.0,0.0,strandeng
1939,Fastlands-Norge med havområder,Terrestriske invertebrater,Coleoptera,Animalia\Arthropoda\Insecta\Coleoptera\Polyphaga\Staphyliniformia\Staphylinoidea\Ptiliidae\Acrotrichinae\Nephanini\Baeocrara,11307,Baeocrara japonica,"(Matthews, 1884)",,Selvstendig reproduserende,E,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,67,Nei,,Nei,Nei,12.0,1500.0,2000,,,"fastmarksskogsmark; sterkt endret fastmark med preg av semi-naturlig eng; sterkt endret, varig fastmark med intensivt hevdpreg"
3355,Fastlands-Norge med havområder,Terrestriske invertebrater,Hemiptera,Animalia\Arthropoda\Insecta\Hemiptera\Auchenorrhyncha\Cicadomorpha\Cicadelloidea\Cicadellidae\Deltocephalinae\Macrostelini\Balclutha,111385,Balclutha calamagrostis,"Ossiannilsson, 1961",,Dørstokkart,B1,LO,"3A,1",,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,139,Nei,,Nei,Nei,,,20,2.0,3.0,
2592,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Lamiales\Lamiaceae\Ballota\Ballota nigra,102278,Ballota nigra subsp. nigra,,tunhunderot,Selvstendig reproduserende,C3,LO,"2A,1",NK,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,0,Nei,,Nei,Nei,8.0,16.0,16,,,sterkt endret åpen fastmark med løsmassedekke
2591,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Asterales\Asteraceae\Balsamita,100448,Balsamita major,Desf.,balsamkrage,Dørstokkart,B2,LO,"2A,1",NR,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,sterkt endret åpen fastmark med løsmassedekke; sterkt endret eller ny fastmark i langsom suksesjon
1880,Fastlands-Norge med havområder,Terrestriske invertebrater,Coleoptera,Animalia\Arthropoda\Insecta\Coleoptera\Polyphaga\Staphyliniformia\Staphylinoidea\Ptiliidae\Ptiliinae\Ptiliini\Bambara,11336,Bambara contorta,"(Dybas, 1966)",,Selvstendig reproduserende,C2,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,133,Nei,,Nei,Nei,12.0,160.0,600,,,"sterkt endret, varig fastmark med intensivt hevdpreg"
2590,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Brassicales\Brassicaceae\Barbarea,101100,Barbarea intermedia,Boreau,frynsevinterkarse,Selvstendig reproduserende,C2,LO,"2A,1",NR,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,22,Nei,,Ja,Nei,8.0,24.0,48,,,sterkt endret åpen fastmark med løsmassedekke
2587,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Brassicales\Brassicaceae\Barbarea,101103,Barbarea vulgaris,W.T.Aiton,vinterkarse,Etablert per år 1800,E,NR,,SE,,,,,,,,,,,,,,,,,,,,0,,,"åpen grunnlendt mark; fastmarksskogsmark; strandberg; rasmark; aktiv skredmark; semi-naturlig eng; sterkt endret åpen fastmark med løsmassedekke; ny fastmark på sterkt modifi-serte og syntetiske substrater, i rask suksesjon; sterkt endret eller ny fastmark i langsom suksesjon; sterkt endret fastmark med preg av semi-naturlig eng; oppdyrket mark med preg av semi-naturlig eng; sterkt endret, hyppig bearbeidet fastmark med intensivt hevdpreg; sterkt endret, varig fastmark med intensivt hevdpreg; oppdyrket varig eng; nakent berg; åpen grunnlendt kalkrik mark i boreonemoral sone"
3153,Svalbard med kystsone,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Brassicales\Brassicaceae\Barbarea,101103,Barbarea vulgaris,W.T.Aiton,vinterkarse,Selvstendig reproduserende,D2,LO,"2A,1",LO,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,9,Nei,,Ja,Nei,20.0,20.0,28,,,"sterkt endret åpen fastmark med løsmassedekke; fjellhei, leside og tundra"
620,Fastlands-Norge med havområder,Fisker,Actinopterygii,Animalia\Chordata\Vertebrata\Actinopterygii\Cypriniformes\Balitoridae\Barbatula,128584,Barbatula barbatula,"(Linnaeus, 1758)",smerling,Dørstokkart,A,PH,"4A,1",NR,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,379,Nei,,Nei,Nei,,,76,8.0,4.0,
5028,Fastlands-Norge med havområder,Fisker,Actinopterygii,Animalia\Chordata\Vertebrata\Actinopterygii\Cypriniformes\Cyprinidae\Barbus,216504,Barbus barbus,"(Linnaeus, 1758)",,Dørstokkart,A,LO,"2A,1",,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Ja,Artens evne til reproduksjon og/eller spredning er begrenset til visse kystvannssoner eller seksjoner,Nei,Nei,,,8,2.0,0.0,elvevannmasser
2652,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Caryophyllales\Amaranthaceae\Bassia,101379,Bassia scoparia,(L.) A.J.Scott,kostmelde,Dørstokkart,C0,LO,"2A,1",NR,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,sterkt endret åpen fastmark med løsmassedekke
2108,Fastlands-Norge med havområder,"Sopper, det gule riket og bakterier",Fungi,Fungi\Chytridiomycota\Chytridiomycotina\Rhizophydiomycetes\Rhizophydiales\Incertae sedis\Batrachochytrium,135423,Batrachochytrium dendrobatidis,"Longcore, Pessier & D.K. Nichols",,Selvstendig reproduserende,C2,SE,"4A,4D",SE,4.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2000.0,356,Ja,"Artens evne til reproduksjon og/eller spredning er begrenset til visse kystvannssoner eller seksjoner, Artens økologiske effekter er begrenset til bestemte naturtyper",Ja,Ja,28.0,1000.0,4000,,,"ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn; lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser; sterkt kalkrike pytter, dammer og små innsjøer; humøse grunne innsjøer; humøse dype innsjøer; svært kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn; svært kalkfattige og humøse grunne vannmasser med middels komplekst fiskesamfunn; noe kalkfattige og klare grunne vannmasser med middels komplekst fiskesamfunn"
2107,Fastlands-Norge med havområder,"Sopper, det gule riket og bakterier",Fungi,Fungi\Chytridiomycota\Chytridiomycotina\Rhizophydiomycetes\Rhizophydiales\Incertae sedis\Batrachochytrium,169976,Batrachochytrium salamandrivorans,"A. Martel, Blooi, Bossuyt & Pasmans",,Dørstokkart,A,SE,"4A,4E",SE,4.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2000.0,391,Ja,"Artens evne til reproduksjon og/eller spredning er begrenset til visse kystvannssoner eller seksjoner, Artens økologiske effekter er begrenset til bestemte naturtyper",Ja,Ja,,,80,20.0,0.0,ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn; lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser
4828,Fastlands-Norge med havområder,Rundormer og flatormer,Nematoda,Animalia\Nematoda\Secernentea\Ascaridida\Ascarididae\Baylisascaris,216422,Baylisascaris procyonis,"(Stefanski & Zarnowski, 1951)",,Dørstokkart,A,NK,"1,1",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,−112,Nei,,Nei,Nei,,,0,0.0,0.0,
2624,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Monocots\Poales\Poaceae\Beckmannia,99924,Beckmannia syzigachne,(Steud.) Fernald,radgras,Selvstendig reproduserende,C3,LO,"2A,1",LO,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,41,Nei,,Nei,Nei,20.0,80.0,160,,,oppdyrket varig eng; oppdyrket mark med preg av semi-naturlig eng; sterkt endret fastmark med preg av semi-naturlig eng; sterkt endret åpen fastmark med løsmassedekke; semi-naturlig våteng
4547,Fastlands-Norge med havområder,Limniske invertebrater,Mollusca,Animalia\Mollusca\Gastropoda\Caenogastropoda\Architaenioglossa\Ampullarioidea\Viviparidae\Bellamya,216067,Bellamya chinensis,"(Gray, 1834)",,Dørstokkart,B1,HI,"3A,3E",,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,200.0,82,Nei,,Ja,Ja,,,12,2.0,1.0,
1879,Fastlands-Norge med havområder,Terrestriske invertebrater,Coleoptera,Animalia\Arthropoda\Insecta\Coleoptera\Adephaga\Caraboidea\Carabidae\Trechinae\Bembidiini\Bembidion,5747,Bembidion clarkii,"(Dawson, 1849)",,Ikke fremmed,,NR,,LO,,,,,,,,,,,,,,,,,,,,0,,,myr- og sumpskogsmark
2148,Fastlands-Norge med havområder,Terrestriske invertebrater,Hemiptera,Animalia\Arthropoda\Insecta\Hemiptera\Heteroptera\Pentatomomorpha\Lygaeoidea\Lygaeidae\Rhyparochrominae\Rhyparochromini\Beosus,110416,Beosus maritimus,"(Scopoli, 1763)",,Dørstokkart,B1,LO,"2A,1",NK,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,åpen grunnlendt mark; strandeng; sanddynemark; kystlynghei
2623,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Ranunculales\Berberidaceae\Berberis,102994,Berberis aggregata,C.K.Schneid.,perleberberis,Selvstendig reproduserende,D2,LO,"2A,1",LO,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,41,Ja,Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner,Nei,Nei,20.0,80.0,160,,,fastmarksskogsmark; sterkt endret fastmark med preg av semi-naturlig eng
5395,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Ranunculales\Berberidaceae\Berberis,155212,Berberis candidula,(C.K.Schneid.) C.K.Schneid.,,Dørstokkart,B2,NK,"1,1",,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,0,Nei,,Nei,Nei,,,4,1.0,0.0,
1902,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Ranunculales\Berberidaceae\Berberis,155213,Berberis darwinii,Hook.,darwinberberis,Dørstokkart,B2,LO,"2A,1",NK,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Nei,Nei,,,8,1.0,1.0,semi-naturlig eng
5396,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Ranunculales\Berberidaceae\Berberis,169994,Berberis gagnepainii,C.K.Schneid.,båndberberis,Dørstokkart,B2,NK,"1,1",,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,0,Nei,,Nei,Nei,,,4,1.0,0.0,fastmarksskogsmark; sterkt endret fastmark med preg av semi-naturlig eng
1901,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Ranunculales\Berberidaceae\Berberis,145514,Berberis julianae,C.K.Schneid.,julianaberberis,Dørstokkart,C1,LO,"2A,1",NR,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Nei,Nei,,,8,1.0,1.0,
5397,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Ranunculales\Berberidaceae\Berberis,217422,Berberis koreana,Palib.,,Dørstokkart,C1,NK,"1,1",,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,0,Nei,,Nei,Nei,,,4,1.0,0.0,
2121,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Ranunculales\Berberidaceae\Berberis,169993,Berberis ×ottawensis,C.K.Schneid. ex Rehder,hybridberberis,Dørstokkart,C1,LO,"2A,1",NR,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Nei,Nei,,,8,1.0,1.0,kalk- og lågurtfuruskog
2622,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Ranunculales\Berberidaceae\Berberis,102995,Berberis thunbergii,DC.,høstberberis,Selvstendig reproduserende,E,SE,"4AB,3D",SE,4.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2000.0,1063,Nei,,Nei,Nei,904.0,4520.0,13560,,,blåbærskog; svak lågurtskog; lågurtskog; kalklågurtskog; bærlyng-lågurtskog; lyng-lågurtskog; lyng-kalklågurtskog; nakent berg; semi-naturlig eng; kystlynghei; sterkt endret åpen fastmark med løsmassedekke; sterkt endret fastmark med preg av semi-naturlig eng; flomskogsmarker på finmateriale
2612,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Saxifragales\Saxifragaceae\Bergenia,103629,Bergenia cordifolia,(Haw.) Sternb.,hjertebergblom,Selvstendig reproduserende,D1,HI,"4AB,2DE",HI,4.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2000.0,887,Ja,Artens økologiske effekter er begrenset til bestemte naturtyper,Nei,Nei,736.0,3680.0,18500,,,nakent berg; fastmarksskogsmark; sterkt endret fastmark med preg av semi-naturlig eng; åpen grunnlendt kalkrik mark i boreonemoral sone
2611,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Saxifragales\Saxifragaceae\Bergenia,103630,Bergenia crassifolia,(L.) Fritsch,spadebergblom,Selvstendig reproduserende,D1,HI,"4AB,2DE",HI,4.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2000.0,838,Ja,Artens økologiske effekter er begrenset til bestemte naturtyper,Nei,Nei,540.0,2700.0,13500,,,nakent berg; åpen grunnlendt mark; fastmarksskogsmark; sterkt endret fastmark med preg av semi-naturlig eng
5099,Fastlands-Norge med havområder,Marine invertebrater,Ctenophora,Animalia\Ctenophora\Nuda\Beroida\Beroidae\Beroe,16276,Beroe ovata,"Eschscholtz, 1829",,Dørstokkart,A,PH,"4A,1",,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,185,Nei,,Ja,Nei,,,28,3.0,3.0,fjord; epipelagiale kystvannmasser; epipelagiale havvannmasser
2610,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Brassicales\Brassicaceae\Berteroa,101107,Berteroa incana,(L.) DC.,hvitdodre,Selvstendig reproduserende,E,SE,"4A,3DF",SE,4.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2000.0,213,Ja,"Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner, Artens økologiske effekter er begrenset til bestemte naturtyper",Nei,Nei,2068.0,4136.0,6204,,,"sterkt endret åpen fastmark med løsmassedekke; ny fastmark på sterkt modifi-serte og syntetiske substrater, i rask suksesjon; sterkt endret eller ny fastmark i langsom suksesjon; sterkt endret fastmark med preg av semi-naturlig eng; oppdyrket mark med preg av semi-naturlig eng; sterkt endret, hyppig bearbeidet fastmark med intensivt hevdpreg; sterkt endret, varig fastmark med intensivt hevdpreg; svakt kalkrik eng med mindre hevdpreg; sterkt kalkrik eng med mindre hevdpreg; svakt kalkrik tørreng med mindre hevdpreg; sterkt kalkrik tørreng med mindre hevdpreg; åpen grunnlendt kalkrik mark i boreonemoral sone"
2603,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Lamiales\Lamiaceae\Betonica,129586,Betonica macrantha,K.Koch,prydbetonie,Selvstendig reproduserende,D2,HI,"4A,2D",LO,4.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2000.0,188,Ja,Artens økologiske effekter er begrenset til bestemte naturtyper,Nei,Nei,384.0,1152.0,1800,,,"fastmarksskogsmark; semi-naturlig eng; sterkt endret fastmark med preg av semi-naturlig eng; sterkt endret, hyppig bearbeidet fastmark med intensivt hevdpreg; sterkt endret, varig fastmark med intensivt hevdpreg; åpen grunnlendt kalkrik mark i boreonemoral sone"
2627,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Lamiales\Lamiaceae\Betonica,129587,Betonica officinalis,L.,betonie,Selvstendig reproduserende,C3,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,53,Nei,,Nei,Nei,56.0,224.0,448,,,"oppdyrket mark med preg av semi-naturlig eng; sterkt endret, varig fastmark med intensivt hevdpreg; semi-naturlig eng"
5407,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Asterales\Asteraceae\Bidens,217429,Bidens connata,Muhl. ex Willd.,,Dørstokkart,A,NK,"1,1",,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,0,Nei,,Nei,Nei,,,4,1.0,0.0,
2649,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Asterales\Asteraceae\Bidens,100455,Bidens frondosa,L.,hyllebrønsle,Selvstendig reproduserende,C2,LO,"2A,1",NR,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,41,Nei,,Nei,Nei,20.0,80.0,160,,,blomsterbed og liknende; sterkt endret åpen fastmark med løsmassedekke
2647,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Asterales\Asteraceae\Bidens,100457,Bidens radiata,Thuill.,grønnbrønsle,Ikke fremmed,,NR,,NR,,,,,,,,,,,,,,,,,,,,0,,,
3238,Fastlands-Norge med havområder,Terrestriske invertebrater,Annelida,Animalia\Annelida\Clitellata\Oligochaeta\Haplotaxida\Lumbricidae\Bimastos,216068,Bimastos parvus,"(Eisen, 1874)",,Dørstokkart,A,LO,"2A,1",,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,
1991,Fastlands-Norge med havområder,Terrestriske invertebrater,Coleoptera,Animalia\Arthropoda\Insecta\Coleoptera\Polyphaga\Staphyliniformia\Staphylinoidea\Staphylinidae\Staphylininae\Staphylinini\Bisnius,12761,Bisnius parcus,"(Sharp, 1874)",,Selvstendig reproduserende,D2,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,104,Nei,,Nei,Nei,24.0,500.0,1000,,,fastmarksskogsmark; sterkt endret fastmark med preg av semi-naturlig eng
4934,Fastlands-Norge med havområder,Pattedyr,Mammalia,Animalia\Chordata\Vertebrata\Mammalia\Laurasiatheria\Artiodactyla\Bovidae\Bovinae\Bison,216738,Bison bison,"Linnaeus, 1758",bison,Dørstokkart,A,LO,"3A,2F",,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,200.0,82,Ja,"Artens økologiske effekter er begrenset til bestemte naturtyper, Artens økologiske effekter er begrenset til visse bioklimatiske soner eller seksjoner",Nei,Nei,,,12,3.0,0.0,kystlynghei; semi-naturlig eng; sterkt endret fastmark med preg av semi-naturlig eng; fastmarksskogsmark
4933,Fastlands-Norge med havområder,Pattedyr,Mammalia,Animalia\Chordata\Vertebrata\Mammalia\Laurasiatheria\Artiodactyla\Bovidae\Bovinae\Bison,48123,Bison bonasus,"(Linnaeus, 1758)",visent,Dørstokkart,A,LO,"3A,2F",,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,200.0,82,Ja,"Artens økologiske effekter er begrenset til bestemte naturtyper, Artens økologiske effekter er begrenset til visse bioklimatiske soner eller seksjoner",Nei,Nei,,,12,3.0,0.0,semi-naturlig eng; sterkt endret fastmark med preg av semi-naturlig eng; fastmarksskogsmark; kystlynghei
5110,Fastlands-Norge med havområder,Marine invertebrater,Annelida,Animalia\Annelida\Polychaeta\Sedentaria\Canalipalpata\Sabellida\Sabellidae\Bispira,220023,Bispira polyomma,"Giangrande & Faasse, 2012",,Dørstokkart,A,PH,"4A,1",,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,185,Nei,,Nei,Nei,,,28,6.0,1.0,eufotisk fast saltvannsbunn; sterkt endret eller ny fast saltvannsbunn i eufotisk sone
2643,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Caryophyllales\Polygonaceae\Bistorta,102900,Bistorta affinis,(D.Don) Greene,dvergslirekne,Selvstendig reproduserende,C2,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,62,Nei,,Nei,Nei,44.0,176.0,352,,,sterkt endret fastmark med preg av semi-naturlig eng; sterkt endret eller ny fastmark i langsom suksesjon; kystlynghei
2641,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Caryophyllales\Polygonaceae\Bistorta,102901,Bistorta officinalis,Delarbre,ormerot,Selvstendig reproduserende,D1,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,127,Nei,,Nei,Nei,532.0,1596.0,1800,,,"fastmarksskogsmark; semi-naturlig eng; sterkt endret fastmark med preg av semi-naturlig eng; sterkt endret, hyppig bearbeidet fastmark med intensivt hevdpreg"
2671,Fastlands-Norge med havområder,Limniske invertebrater,Mollusca,Animalia\Mollusca\Gastropoda\Caenogastropoda\Littorinimorpha\Rissooidea\Bithyniidae\Bithynia\Bithynia,120961,Bithynia (Bithynia) tentaculata,"(Linnaeus, 1758)",snutesnegl,Selvstendig reproduserende,C3,LO,"2A,2I",LO,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2000.0,18,Nei,,Nei,Nei,8.0,16.0,32,,,eufotisk fast innsjøbunn; eufotisk innsjø-sedimentbunn
5112,Fastlands-Norge med havområder,Marine invertebrater,Cnidaria,Animalia\Cnidaria\Hydrozoa\Leptothecata\Blackfordiidae\Blackfordia,220029,Blackfordia virginica,"Mayer, 1910",,Dørstokkart,A,PH,"4A,1",,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,206,Nei,,Ja,Nei,,,32,3.0,4.0,stor brakkvannspoll; middels stor eller liten brakkvannspoll
2566,Fastlands-Norge med havområder,Terrestriske invertebrater,Diptera,Animalia\Arthropoda\Insecta\Diptera\Tachinidae\Blepharipa,127866,Blepharipa schineri,"(Mesnil, 1939)",,Dørstokkart,A,LO,"3A,2E",HI,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,200.0,82,Nei,,Ja,Ja,,,12,2.0,1.0,fastmarksskogsmark
