Ekspertkomité,Vurderingsområde,Vitenskapelig navn id,Fremmedartsstatus,Etableringsklasse,Risikokategori 2018,Risikokategori 2023,Skår Invasjonspotensial,Skår Økologisk effekt,Vitenskapelig navn id,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt
Karplanter,Fastlands-Norge med havområder,103564,Selvstendig reproduserende,E,PH,HI,4.0,2.0,103564,Nei,Nei
Alger,Fastlands-Norge med havområder,128119,Dørstokkart,A,LO,LO,3.0,1.0,128119,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,51923,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,51923,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,51925,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,51925,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,51967,Selvstendig reproduserende,C3,HI,HI,2.0,3.0,51967,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,51970,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,51970,Ja,Nei
Alger,Fastlands-Norge med havområder,224060,Selvstendig reproduserende,C2,SE,SE,4.0,4.0,224060,Ja,Ja
Karplanter,Fastlands-Norge med havområder,102269,Dørstokkart,C1,NK,LO,2.0,1.0,102269,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102270,Selvstendig reproduserende,C2,NK,LO,3.0,1.0,102270,Nei,Nei
Alger,Fastlands-Norge med havområder,106538,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,106538,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,127524,Dørstokkart,A,PH,PH,1.0,4.0,127524,Nei,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,120934,Dørstokkart,A,SE,HI,2.0,3.0,120934,Ja,Ja
Karplanter,Fastlands-Norge med havområder,101443,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,101443,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,8152,Selvstendig reproduserende,E,LO,LO,3.0,1.0,8152,Nei,Nei
Fugler,Fastlands-Norge med havområder,3446,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,3446,Ja,Nei
Fugler,Fastlands-Norge med havområder,3447,Dørstokkart,C0,NK,LO,2.0,1.0,3447,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102272,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,102272,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217355,Dørstokkart,B2,,LO,2.0,1.0,217355,Ja,Nei
Karplanter,Fastlands-Norge med havområder,102718,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,102718,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103231,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,103231,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103233,Selvstendig reproduserende,E,SE,SE,4.0,3.0,103233,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103241,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,103241,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103243,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,103243,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145502,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,145502,Nei,Nei
Karplanter,Svalbard med kystsone,103244,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,103244,Ja,Nei
Marine invertebrater,Svalbard med kystsone,5047,Dørstokkart,A,LO,LO,3.0,1.0,5047,Ja,Nei
Fugler,Fastlands-Norge med havområder,4048,Dørstokkart,C0,NK,NK,1.0,1.0,4048,Nei,Nei
Karplanter,Fastlands-Norge med havområder,222969,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,222969,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99404,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,99404,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128701,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,128701,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99405,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,99405,Nei,Nei
Karplanter,Fastlands-Norge med havområder,154202,Selvstendig reproduserende,C3,LO,LO,3.0,1.0,154202,Nei,Nei
Karplanter,Fastlands-Norge med havområder,154206,Dørstokkart,A,,LO,2.0,1.0,154206,Nei,Nei
Karplanter,Fastlands-Norge med havområder,143442,Selvstendig reproduserende,C3,NK,NK,1.0,1.0,143442,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170190,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,170190,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99420,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,99420,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216042,Dørstokkart,A,,LO,2.0,1.0,216042,Ja,Nei
Karplanter,Fastlands-Norge med havområder,143443,Selvstendig reproduserende,D2,HI,SE,4.0,3.0,143443,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217364,Selvstendig reproduserende,C2,,LO,2.0,1.0,217364,Nei,Nei
Karplanter,Fastlands-Norge med havområder,165264,Dørstokkart,A,,LO,2.0,1.0,165264,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217365,Dørstokkart,B2,,LO,2.0,1.0,217365,Nei,Nei
