Ekspertkomité,Vurderingsområde,Vitenskapelig navn id,Fremmedartsstatus,Etableringsklasse,Risikokategori 2018,Risikokategori 2023,Skår Invasjonspotensial,Skår Økologisk effekt,Vitenskapelig navn id,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt
Karplanter,Fastlands-Norge med havområder,127926,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,127926,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103269,Selvstendig reproduserende,D2,LO,SE,4.0,4.0,103269,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170026,Selvstendig reproduserende,D2,NK,SE,4.0,4.0,170026,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103270,Selvstendig reproduserende,E,SE,SE,4.0,4.0,103270,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170028,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,170028,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217517,Dørstokkart,B2,,LO,2.0,1.0,217517,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103271,Selvstendig reproduserende,D2,LO,SE,4.0,3.0,103271,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103272,Selvstendig reproduserende,E,SE,SE,4.0,4.0,103272,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103273,Selvstendig reproduserende,E,SE,SE,4.0,4.0,103273,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128845,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,128845,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170029,Dørstokkart,C0,NK,NK,1.0,1.0,170029,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103274,Selvstendig reproduserende,D2,NK,SE,4.0,4.0,103274,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103275,Selvstendig reproduserende,D2,SE,SE,4.0,4.0,103275,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128844,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,128844,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103277,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,103277,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128846,Selvstendig reproduserende,D2,NK,SE,4.0,3.0,128846,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103278,Selvstendig reproduserende,E,SE,SE,4.0,4.0,103278,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103279,Selvstendig reproduserende,D2,LO,HI,4.0,2.0,103279,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103280,Selvstendig reproduserende,D2,HI,SE,4.0,3.0,103280,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103281,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,103281,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217518,Selvstendig reproduserende,D2,,SE,4.0,3.0,217518,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217519,Dørstokkart,A,,LO,2.0,1.0,217519,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103283,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,103283,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103284,Selvstendig reproduserende,C2,PH,HI,2.0,4.0,103284,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217520,Selvstendig reproduserende,D2,,SE,4.0,3.0,217520,Nei,Nei
Karplanter,Fastlands-Norge med havområder,143467,Selvstendig reproduserende,D2,LO,HI,4.0,2.0,143467,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103286,Selvstendig reproduserende,D2,LO,HI,4.0,2.0,103286,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103287,Selvstendig reproduserende,D2,LO,SE,4.0,3.0,103287,Nei,Nei
Fisker,Fastlands-Norge med havområder,42895,Regionalt fremmed,D2,,LO,2.0,2.0,42895,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100533,Selvstendig reproduserende,C2,NK,LO,2.0,2.0,100533,Nei,Nei
Fugler,Fastlands-Norge med havområder,136515,Dørstokkart,C0,,HI,2.0,3.0,136515,Nei,Nei
Marine invertebrater,Svalbard med kystsone,16503,Dørstokkart,A,LO,LO,3.0,2.0,16503,Ja,Ja
Limniske invertebrater,Fastlands-Norge med havområder,169947,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,169947,Ja,Nei
Limniske invertebrater,Fastlands-Norge med havområder,216953,Dørstokkart,C0,,HI,4.0,2.0,216953,Ja,Ja
Marine invertebrater,Fastlands-Norge med havområder,127340,Selvstendig reproduserende,C2,SE,SE,4.0,3.0,127340,Ja,Ja
Marine invertebrater,Fastlands-Norge med havområder,128526,Dørstokkart,A,PH,HI,3.0,3.0,128526,Ja,Ja
Karplanter,Fastlands-Norge med havområder,169238,Selvstendig reproduserende,C2,,HI,3.0,3.0,169238,Ja,Ja
Karplanter,Fastlands-Norge med havområder,103289,Selvstendig reproduserende,C2,NK,LO,3.0,1.0,103289,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103291,Selvstendig reproduserende,E,HI,HI,3.0,3.0,103291,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103292,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,103292,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103298,Selvstendig reproduserende,D2,LO,HI,4.0,2.0,103298,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,216955,Dørstokkart,A,,HI,2.0,4.0,216955,Ja,Ja
Marine invertebrater,Fastlands-Norge med havområder,121498,Selvstendig reproduserende,E,LO,HI,4.0,2.0,121498,Ja,Ja
Marine invertebrater,Fastlands-Norge med havområder,220060,Dørstokkart,A,,LO,2.0,2.0,220060,Ja,Ja
Karplanter,Fastlands-Norge med havområder,100536,Selvstendig reproduserende,E,LO,HI,4.0,2.0,100536,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100537,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,100537,Ja,Nei
Pattedyr,Fastlands-Norge med havområder,211769,Selvstendig reproduserende,E,,HI,4.0,2.0,211769,Ja,Ja
Karplanter,Fastlands-Norge med havområder,128722,Selvstendig reproduserende,C2,NK,LO,3.0,1.0,128722,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99467,Dørstokkart,A,LO,NK,1.0,1.0,99467,Nei,Nei
Karplanter,Fastlands-Norge med havområder,225896,Selvstendig reproduserende,C3,LO,PH,4.0,1.0,225896,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128723,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,128723,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99468,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,99468,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99469,Selvstendig reproduserende,D2,PH,PH,4.0,1.0,99469,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216805,Dørstokkart,A,,NK,1.0,1.0,216805,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216806,Dørstokkart,A,,NK,1.0,1.0,216806,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216803,Dørstokkart,A,,NK,1.0,1.0,216803,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216807,Dørstokkart,A,,NK,1.0,1.0,216807,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216808,Dørstokkart,A,,PH,4.0,1.0,216808,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216809,Dørstokkart,A,,NK,1.0,1.0,216809,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216810,Dørstokkart,A,,LO,2.0,1.0,216810,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216804,Dørstokkart,A,,LO,2.0,1.0,216804,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,122416,Selvstendig reproduserende,D2,LO,LO,3.0,2.0,122416,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216811,Dørstokkart,A,,NK,1.0,1.0,216811,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216812,Dørstokkart,A,,LO,2.0,1.0,216812,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,208083,Dørstokkart,C0,,LO,2.0,2.0,208083,Ja,Ja
Karplanter,Fastlands-Norge med havområder,102202,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,102202,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,205028,Dørstokkart,B1,,LO,3.0,1.0,205028,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,169967,Selvstendig reproduserende,E,LO,LO,3.0,2.0,169967,Ja,Ja
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,220369,Dørstokkart,A,,PH,4.0,1.0,220369,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,7436,Dørstokkart,C0,NK,NK,1.0,1.0,7436,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145535,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,145535,Nei,Nei
Alger,Fastlands-Norge med havområder,128123,Dørstokkart,A,PH,LO,3.0,1.0,128123,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,7672,Selvstendig reproduserende,E,NK,LO,2.0,1.0,7672,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,7707,Dørstokkart,B1,NK,LO,2.0,1.0,7707,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,169746,Selvstendig reproduserende,C2,PH,LO,3.0,1.0,169746,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,11026,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,11026,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,48477,Dørstokkart,C0,LO,LO,3.0,1.0,48477,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,169978,Dørstokkart,A,PH,PH,4.0,1.0,169978,Ja,Nei
Fisker,Fastlands-Norge med havområder,42625,Dørstokkart,C1,,HI,3.0,3.0,42625,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216099,Dørstokkart,A,,PH,4.0,1.0,216099,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,127811,Dørstokkart,B1,LO,LO,3.0,2.0,127811,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,223166,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,223166,Ja,Nei
Karplanter,Fastlands-Norge med havområder,145686,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,145686,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145683,Selvstendig reproduserende,E,HI,SE,4.0,3.0,145683,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145685,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,145685,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100311,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,100311,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216102,Dørstokkart,C0,,PH,4.0,1.0,216102,Ja,Nei
Fugler,Fastlands-Norge med havområder,3507,Dørstokkart,C1,NK,LO,2.0,1.0,3507,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,48433,Dørstokkart,C0,LO,LO,3.0,1.0,48433,Ja,Nei
Karplanter,Fastlands-Norge med havområder,102500,Selvstendig reproduserende,E,PH,PH,4.0,1.0,102500,Nei,Nei
Fisker,Fastlands-Norge med havområder,42608,Selvstendig reproduserende,D2,HI,SE,4.0,3.0,42608,Ja,Ja
Karplanter,Fastlands-Norge med havområder,101924,Selvstendig reproduserende,C2,NK,LO,3.0,1.0,101924,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101925,Selvstendig reproduserende,E,SE,SE,4.0,4.0,101925,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217551,Dørstokkart,A,,NK,1.0,1.0,217551,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216813,Dørstokkart,A,,NK,1.0,1.0,216813,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128978,Dørstokkart,B1,,LO,3.0,1.0,128978,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,11772,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,11772,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,48117,Selvstendig reproduserende,D1,LO,PH,4.0,1.0,48117,Ja,Nei
Karplanter,Fastlands-Norge med havområder,156357,Dørstokkart,B2,,LO,2.0,1.0,156357,Ja,Nei
Limniske invertebrater,Fastlands-Norge med havområder,128669,Selvstendig reproduserende,C2,PH,LO,3.0,2.0,128669,Ja,Ja
Limniske invertebrater,Fastlands-Norge med havområder,128670,Dørstokkart,A,SE,LO,3.0,2.0,128670,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,19566,Dørstokkart,B1,,PH,4.0,1.0,19566,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,19588,Dørstokkart,A,,PH,4.0,1.0,19588,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,127779,Dørstokkart,A,LO,PH,4.0,1.0,127779,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,19595,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,19595,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,19610,Selvstendig reproduserende,D2,LO,LO,2.0,1.0,19610,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103300,Selvstendig reproduserende,D2,PH,PH,4.0,1.0,103300,Nei,Nei
Alger,Fastlands-Norge med havområder,106576,Selvstendig reproduserende,E,PH,PH,4.0,1.0,106576,Ja,Nei
Alger,Fastlands-Norge med havområder,170449,Dørstokkart,A,PH,SE,4.0,3.0,170449,Nei,Nei
Alger,Fastlands-Norge med havområder,152978,Selvstendig reproduserende,E,SE,SE,4.0,3.0,152978,Ja,Ja
Karplanter,Fastlands-Norge med havområder,103717,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,103717,Ja,Nei
Karplanter,Fastlands-Norge med havområder,100314,Selvstendig reproduserende,E,LO,LO,3.0,1.0,100314,Ja,Nei
Karplanter,Fastlands-Norge med havområder,217560,Dørstokkart,A,,NK,1.0,1.0,217560,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,66818,Selvstendig reproduserende,E,LO,LO,3.0,1.0,66818,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103118,Selvstendig reproduserende,D1,LO,PH,4.0,1.0,103118,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217562,Dørstokkart,B2,,LO,2.0,1.0,217562,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,109798,Selvstendig reproduserende,E,HI,PH,4.0,1.0,109798,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,204220,Selvstendig reproduserende,C3,HI,HI,3.0,3.0,204220,Ja,Ja
Karplanter,Svalbard med kystsone,99990,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,99990,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,52328,Dørstokkart,C1,LO,LO,2.0,1.0,52328,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,220063,Dørstokkart,A,,PH,4.0,1.0,220063,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,216959,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,LO,1.0,3.0,216959,Nei,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,128647,Dørstokkart,A,LO,LO,3.0,1.0,128647,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,128538,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,128538,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101484,Selvstendig reproduserende,D1,LO,PH,4.0,1.0,101484,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101486,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,101486,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170166,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,170166,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101491,Selvstendig reproduserende,D2,LO,HI,4.0,2.0,101491,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,169968,Dørstokkart,A,NK,LO,3.0,2.0,169968,Ja,Ja
Karplanter,Fastlands-Norge med havområder,103019,Selvstendig reproduserende,D1,LO,PH,4.0,1.0,103019,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,170156,Dørstokkart,C0,LO,LO,3.0,1.0,170156,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,126850,Selvstendig reproduserende,C2,SE,SE,4.0,4.0,126850,Ja,Ja
Marine invertebrater,Svalbard med kystsone,126850,Dørstokkart,A,,SE,4.0,4.0,126850,Ja,Ja
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,67695,Selvstendig reproduserende,D2,NK,LO,3.0,1.0,67695,Ja,Nei
Moser,Fastlands-Norge med havområder,213914,Dørstokkart,A,,LO,2.0,1.0,213914,Nei,Nei
Karplanter,Fastlands-Norge med havområder,156424,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,156424,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102502,Dørstokkart,C1,NK,NK,1.0,1.0,102502,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102503,Selvstendig reproduserende,C2,LO,LO,2.0,2.0,102503,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99996,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,99996,Ja,Nei
Limniske invertebrater,Fastlands-Norge med havområder,210732,Dørstokkart,A,,SE,4.0,3.0,210732,Ja,Ja
Limniske invertebrater,Fastlands-Norge med havområder,128082,Dørstokkart,A,HI,SE,4.0,4.0,128082,Ja,Ja
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,169970,Dørstokkart,A,LO,LO,3.0,2.0,169970,Ja,Ja
Marine invertebrater,Svalbard med kystsone,107663,Dørstokkart,A,LO,PH,4.0,1.0,107663,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101181,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,101181,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101182,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,101182,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101733,Selvstendig reproduserende,D1,LO,LO,3.0,1.0,101733,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101734,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,101734,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,169980,Dørstokkart,A,HI,HI,4.0,2.0,169980,Ja,Ja
Karplanter,Fastlands-Norge med havområder,217574,Dørstokkart,A,,NK,1.0,1.0,217574,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128648,Dørstokkart,A,LO,LO,3.0,1.0,128648,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,8851,Dørstokkart,A,LO,LO,3.0,1.0,8851,Ja,Nei
Karplanter,Fastlands-Norge med havområder,156457,Selvstendig reproduserende,C2,,LO,2.0,1.0,156457,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,127852,Dørstokkart,A,LO,LO,3.0,1.0,127852,Ja,Nei
Karplanter,Fastlands-Norge med havområder,100548,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,100548,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100549,Selvstendig reproduserende,C3,LO,LO,3.0,1.0,100549,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100550,Selvstendig reproduserende,D2,HI,SE,4.0,3.0,100550,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100552,Selvstendig reproduserende,C2,LO,PH,4.0,1.0,100552,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100553,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,100553,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,8678,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,8678,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,131426,Dørstokkart,A,,LO,2.0,1.0,131426,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101184,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,101184,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101202,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,101202,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102284,Dørstokkart,C0,NK,NK,1.0,1.0,102284,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102287,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,102287,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,128940,Dørstokkart,A,SE,SE,3.0,4.0,128940,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,128935,Dørstokkart,B1,SE,SE,4.0,4.0,128935,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,135301,Selvstendig reproduserende,D2,,LO,2.0,1.0,135301,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,25239,Selvstendig reproduserende,D1,PH,LO,3.0,1.0,25239,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,25244,Selvstendig reproduserende,D2,LO,LO,3.0,2.0,25244,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,25245,Selvstendig reproduserende,D2,LO,LO,3.0,2.0,25245,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,25262,Selvstendig reproduserende,E,LO,PH,4.0,1.0,25262,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,127825,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,127825,Ja,Nei
Karplanter,Fastlands-Norge med havområder,100002,Selvstendig reproduserende,D2,PH,PH,4.0,1.0,100002,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,128898,Dørstokkart,A,SE,SE,4.0,3.0,128898,Ja,Nei
Limniske invertebrater,Fastlands-Norge med havområder,210757,Dørstokkart,A,,SE,4.0,3.0,210757,Ja,Ja
Limniske invertebrater,Fastlands-Norge med havområder,216962,Dørstokkart,A,,LO,3.0,1.0,216962,Ja,Nei
Limniske invertebrater,Fastlands-Norge med havområder,210763,Dørstokkart,A,,SE,4.0,3.0,210763,Ja,Ja
Karplanter,Fastlands-Norge med havområder,100556,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,100556,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100557,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,100557,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100558,Selvstendig reproduserende,D2,HI,HI,3.0,3.0,100558,Nei,Nei
Marine invertebrater,Svalbard med kystsone,107953,Dørstokkart,A,LO,LO,3.0,1.0,107953,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101001,Dørstokkart,C0,NK,LO,2.0,1.0,101001,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,128537,Dørstokkart,A,LO,LO,3.0,1.0,128537,Ja,Nei
Karplanter,Fastlands-Norge med havområder,169239,Dørstokkart,B1,,HI,3.0,3.0,169239,Ja,Ja
Karplanter,Fastlands-Norge med havområder,141626,Dørstokkart,A,,LO,2.0,1.0,141626,Ja,Nei
Karplanter,Fastlands-Norge med havområder,103202,Selvstendig reproduserende,D2,LO,SE,4.0,3.0,103202,Nei,Nei
Amfibier og reptiler,Fastlands-Norge med havområder,216700,Dørstokkart,A,,NK,1.0,1.0,216700,Nei,Nei
Karplanter,Fastlands-Norge med havområder,169242,Dørstokkart,A,,LO,2.0,2.0,169242,Ja,Nei
Karplanter,Fastlands-Norge med havområder,99333,Selvstendig reproduserende,E,SE,SE,4.0,4.0,99333,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99334,Selvstendig reproduserende,D2,SE,SE,4.0,4.0,99334,Ja,Ja
Amfibier og reptiler,Fastlands-Norge med havområder,1614,Dørstokkart,B1,LO,LO,3.0,1.0,1614,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,214748,Selvstendig reproduserende,D2,LO,LO,3.0,2.0,214748,Ja,Nei
Amfibier og reptiler,Fastlands-Norge med havområder,169465,Dørstokkart,A,NK,NK,1.0,1.0,169465,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102835,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,102835,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102837,Selvstendig reproduserende,E,SE,SE,4.0,3.0,102837,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102838,Selvstendig reproduserende,E,SE,SE,4.0,3.0,102838,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102851,Selvstendig reproduserende,D1,LO,LO,2.0,1.0,102851,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102998,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,102998,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,45959,Selvstendig reproduserende,E,PH,PH,4.0,1.0,45959,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,45956,Selvstendig reproduserende,D1,LO,LO,3.0,1.0,45956,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,45969,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,45969,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216127,Dørstokkart,A,,LO,2.0,1.0,216127,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216129,Dørstokkart,A,,NK,1.0,1.0,216129,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103121,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,103121,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,147285,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,147285,Ja,Nei
Karplanter,Fastlands-Norge med havområder,217601,Dørstokkart,B1,,NK,1.0,1.0,217601,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145543,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,145543,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,169735,Dørstokkart,A,NK,NK,1.0,1.0,169735,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100564,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,100564,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,220068,Dørstokkart,A,,LO,3.0,2.0,220068,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,16678,Dørstokkart,C1,SE,SE,4.0,4.0,16678,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,128610,Selvstendig reproduserende,C2,NK,LO,3.0,2.0,128610,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,205012,Dørstokkart,B1,,LO,3.0,1.0,205012,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101216,Selvstendig reproduserende,D1,LO,LO,2.0,1.0,101216,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100319,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,100319,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100321,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,100321,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100323,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,100323,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101218,Selvstendig reproduserende,E,LO,PH,4.0,1.0,101218,Nei,Nei
